iter	Passed	Remaining
349	11226	20848
350	11258	20817
351	11301	20804
352	11344	20792
353	11385	20777
354	11425	20758
355	11468	20745
356	11512	20734
357	11552	20717
358	11593	20700
359	11636	20687
360	11683	20681
361	11726	20667
362	11772	20658
363	11818	20649
364	11883	20674
365	11937	20678
366	11983	20668
367	12031	20661
368	12064	20631
369	12111	20622
370	12182	20655
371	12228	20644
372	12294	20667
373	12324	20628
374	12356	20594
375	12382	20549
376	12408	20504
377	12431	20456
378	12457	20412
379	12482	20366
380	12508	20322
381	12534	20278
382	12559	20232
383	12585	20189
384	12611	20145
385	12637	20101
386	12662	20057
387	12688	20013
388	12713	19969
389	12741	19928
390	12766	19884
391	12784	19829
392	12809	19784
393	12835	19741
394	12855	19689
395	12879	19644
396	12904	19601
397	12929	19556
398	12953	19512
399	12978	19467
400	13005	19427
401	13030	19383
402	13054	19338
403	13079	19295
404	13104	19252
405	13131	19211
406	13156	19169
407	13181	19125
408	13199	19073
409	13227	19034
410	13253	18993
411	13281	18954
412	13306	18913
413	13333	18873
414	13352	18821
415	13376	18778
416	13400	18735
417	13427	18695
418	13451	18651
419	13476	18610
420	13501	18568
421	13525	18525
422	13551	18485
423	13577	18444
424	13601	18402
425	13625	18359
426	13651	18318
427	13679	18281
428	13706	18243
429	13735	18207
430	13764	18172
431	13793	18135
432	13821	18099
433	13847	18059
434	13875	18021
435	13901	17983
436	13927	17943
437	13956	17907
438	13982	17868
439	14008	17829
440	14034	17789
441	14060	17750
442	14088	17713
443	14115	17676
444	14149	17646
445	14206	17646
446	14254	17635
447	14290	17607
448	14335	17592
449	14377	17572
450	14408	17539
451	14439	17506
452	14466	17468
453	14497	17435
454	14530	17404
455	14567	17378
456	14603	17351
457	14637	17322
458	14667	17288
459	14701	17257
460	14844	17356
461	14904	17355
462	14946	17335
463	15032	17365
464	15099	17372
465	15133	17342
466	15172	17316
467	15218	17299
468	15245	17261
469	15274	17224
470	15303	17188
471	15331	17151
472	15360	17113
473	15388	17076
474	15416	17038
475	15443	17000
476	15470	16962
477	15497	16924
478	15523	16884
479	15550	16846
480	15577	16807
481	15605	16771
482	15631	16731
483	15656	16691
484	15684	16654
485	15706	16611
486	15742	16583
487	15771	16547
488	15800	16511
489	15851	16498
490	15883	16465
491	15920	16438
492	15952	16405
493	15983	16371
494	16014	16338
495	16047	16306
496	16070	16264
497	16103	16232
498	16134	16198
499	16164	16164
500	16189	16125
501	16216	16087
502	16244	16051
503	16269	16011
504	16297	15974
505	16325	15938
506	16352	15901
507	16383	15867
508	16412	15831
509	16439	15795
510	16466	15757
511	16497	15723
512	16530	15692
513	16564	15662
514	16600	15633
515	16650	15617
516	16688	15591
517	16722	15560
518	16757	15530
519	16790	15498
520	16825	15469
521	16865	15443
522	16923	15434
523	16960	15406
524	16991	15373
525	17023	15340
526	17052	15305
527	17080	15269
528	17108	15232
529	17142	15201
530	17174	15169
531	17206	15136
532	17237	15102
533	17266	15067
534	17292	15029
535	17323	14996
536	17357	14965
537	17377	14922
538	17404	14886
539	17433	14850
540	17464	14817
541	17489	14779
542	17517	14743
543	17548	14709
544	17581	14678
545	17616	14647
546	17646	14614
547	17678	14581
548	17705	14545
549	17734	14509
550	17764	14475
551	17794	14442
552	17841	14421
553	17894	14406
554	17938	14383
555	17983	14361
556	18030	14339
557	18074	14317
558	18120	14295
559	18167	14274
560	18211	14250
561	18252	14225
562	18278	14187
563	18312	14156
564	18350	14128
565	18386	14098
566	18425	14070
567	18465	14044
568	18500	14013
569	18533	13981
570	18557	13942
571	18590	13910
572	18623	13878
573	18654	13844
574	18683	13809
575	18711	13773
576	18740	13738
577	18775	13707
578	18807	13675
579	18841	13643
580	18875	13612
581	18911	13582
582	18975	13572
583	19007	13539
584	19040	13507
585	19070	13472
586	19105	13442
587	19141	13411
588	19177	13382
589	19207	13347
590	19231	13309
591	19262	13275
592	19290	13239
593	19309	13198
594	19341	13165
595	19371	13131
596	19399	13095
597	19427	13060
598	19456	13024
599	19474	12983
600	19505	12949
601	19531	12912
602	19558	12876
603	19586	12841
604	19612	12804
605	19639	12768
606	19666	12732
607	19690	12695
608	19713	12656
609	19740	12621
610	19771	12587
611	19797	12551
612	19823	12514
613	19851	12479
614	19878	12444
615	19906	12409
616	19949	12383
617	19976	12347
618	20003	12312
619	20023	12272
620	20052	12237
621	20082	12204
622	20109	12169
623	20136	12133
624	20166	12099
625	20192	12063
626	20218	12027
627	20244	11992
628	20271	11956
629	20292	11918
630	20319	11882
631	20347	11847
632	20375	11813
633	20402	11778
634	20439	11748
635	20511	11739
636	20553	11712
637	20585	11679
638	20610	11643
639	20638	11609
640	20661	11571
641	20687	11536
642	20711	11499
643	20737	11463
644	20760	11426
645	20787	11391
646	20811	11354
647	20837	11318
648	20862	11283
649	20889	11248
650	20914	11212
651	20939	11176
652	20964	11140
653	20990	11105
654	21016	11069
655	21040	11033
656	21066	10998
657	21090	10961
658	21107	10922
659	21139	10889
660	21170	10857
661	21202	10825
662	21232	10792
663	21259	10757
664	21290	10725
665	21317	10690
666	21342	10655
667	21371	10621
668	21401	10588
669	21422	10551
670	21454	10519
671	21489	10488
672	21528	10460
673	21565	10430
674	21596	10398
675	21626	10365
676	21653	10331
677	21679	10296
678	21709	10263
679	21734	10228
680	21770	10197
681	21796	10163
682	21827	10130
683	21858	10098
684	21891	10066
685	21921	10033
686	21952	10001
687	21979	9967
688	22008	9934
689	22040	9902
690	22065	9867
691	22094	9833
692	22127	9802
693	22157	9769
694	22187	9736
695	22216	9703
696	22241	9668
697	22266	9634
698	22290	9598
699	22314	9563
700	22339	9528
701	22364	9493
702	22388	9458
703	22413	9423
704	22439	9389
705	22471	9357
706	22505	9326
707	22536	9294
708	22568	9262
709	22601	9231
710	22636	9201
711	22668	9169
712	22691	9134
713	22724	9102
714	22759	9072
715	22793	9040
716	22824	9008
717	22858	8977
718	22889	8945
719	22922	8914
720	22956	8883
721	22990	8852
722	23022	8820
723	23053	8788
724	23082	8755
725	23112	8722
726	23142	8690
727	23172	8657
728	23202	8625
729	23232	8592
730	23262	8560
731	23294	8528
732	23325	8496
733	23356	8464
734	23396	8435
735	23438	8407
736	23499	8385
737	23548	8360
738	23582	8328
739	23614	8296
740	23638	8262
741	23664	8228
742	23693	8195
743	23719	8161
744	23744	8127
745	23770	8093
746	23800	8061
747	23837	8030
748	23860	7996
749	23891	7963
750	23920	7931
751	23950	7898
752	23986	7868
753	24015	7835
754	24050	7804
755	24083	7772
756	24110	7739
757	24132	7704
758	24155	7669
759	24176	7634
760	24200	7600
761	24225	7566
762	24250	7532
763	24275	7498
764	24302	7465
765	24327	7431
766	24353	7398
767	24377	7364
768	24403	7330
769	24433	7298
770	24463	7266
771	24489	7232
772	24517	7199
773	24545	7166
774	24572	7133
775	24600	7101
776	24627	7068
777	24653	7034
778	24671	6999
779	24697	6966
780	24722	6932
781	24750	6899
782	24775	6866
783	24801	6832
784	24826	6799
785	24852	6766
786	24878	6733
787	24903	6699
788	24930	6667
789	24962	6635
790	24989	6602
791	25015	6569
792	25039	6536
793	25064	6502
794	25092	6470
795	25135	6441
796	25181	6413
797	25216	6383
798	25248	6351
799	25279	6319
800	25311	6288
801	25344	6257
802	25378	6226
803	25410	6194
804	25440	6162
805	25471	6130
806	25502	6099
807	25535	6067
808	25569	6036
809	25602	6005
810	25637	5974
811	25669	5943
812	25703	5912
813	25720	5877
814	25741	5843
815	25762	5809
816	25784	5775
817	25807	5741
818	25832	5709
819	25857	5676
820	25883	5643
821	25907	5610
822	25933	5577
823	25957	5544
824	25983	5511
825	26008	5478
826	26036	5446
827	26067	5415
828	26100	5383
829	26133	5352
830	26164	5321
831	26189	5288
832	26215	5255
833	26242	5223
834	26266	5190
835	26294	5158
836	26319	5125
837	26348	5093
838	26379	5062
839	26406	5029
840	26436	4998
841	26465	4966
842	26497	4934
843	26527	4903
844	26559	4871
845	26588	4840
846	26615	4807
847	26644	4775
848	26670	4743
849	26695	4711
850	26715	4677
851	26748	4646
852	26791	4617
853	26831	4587
854	26870	4556
855	26903	4525
856	26934	4494
857	26956	4461
858	26988	4430
859	27022	4399
860	27158	4384
861	27238	4360
862	27278	4330
863	27318	4300
864	27352	4268
865	27398	4239
866	27423	4206
867	27449	4174
868	27470	4141
869	27492	4108
870	27518	4075
871	27539	4042
872	27565	4010
873	27588	3977
874	27612	3944
875	27635	3911
876	27658	3879
877	27681	3846
878	27702	3813
879	27726	3780
880	27749	3748
881	27779	3716
882	27817	3685
883	27844	3653
884	27874	3622
885	27910	3591
886	27934	3558
887	27962	3526
888	27991	3494
889	28015	3462
890	28045	3430
891	28077	3399
892	28102	3367
893	28131	3335
894	28160	3303
895	28184	3271
896	28210	3239
897	28234	3207
898	28263	3175
899	28301	3144
900	28331	3113
901	28377	3083
902	28414	3052
903	28445	3020
904	28474	2989
905	28503	2957
906	28534	2925
907	28562	2893
908	28594	2862
909	28622	2830
910	28652	2799
911	28679	2767
912	28706	2735
913	28735	2703
914	28761	2671
915	28781	2639
916	28807	2607
917	28836	2575
918	28870	2544
919	28907	2513
920	28940	2482
921	28980	2451
922	29016	2420
923	29061	2390
924	29111	2360
925	29137	2328
926	29167	2296
927	29201	2265
928	29245	2235
929	29297	2205
930	29339	2174
931	29380	2143
932	29422	2112
933	29465	2082
934	29509	2051
935	29557	2021
936	29599	1990
937	29644	1959
938	29683	1928
939	29725	1897
940	29766	1866
941	29813	1835
942	29857	1804
943	29901	1773
944	29942	1742
945	29987	1711
946	30030	1680
947	30073	1649
948	30116	1618
949	30155	1587
950	30196	1555
951	30238	1524
952	30280	1493
953	30333	1462
954	30388	1431
955	30440	1401
956	30473	1369
957	30503	1337
958	30530	1305
959	30553	1273
960	30576	1240
961	30602	1208
962	30629	1176
963	30667	1145
964	30700	1113
965	30731	1081
966	30764	1049
967	30788	1017
968	30816	985
969	30840	953
970	30865	921
971	30892	889
972	30916	857
973	30940	825
974	30966	794
975	30994	762
976	31022	730
977	31050	698
978	31080	666
979	31108	634
980	31135	603
981	31165	571
982	31193	539
983	31220	507
984	31247	475
985	31277	444
986	31306	412
987	31332	380
988	31360	348
989	31390	317
990	31416	285
991	31443	253
992	31472	221
993	31492	190
994	31519	158
995	31546	126
996	31574	95
997	31602	63
998	31628	31
999	31656	0
